"","outcome","exposure","nsnp","b","se","pval","pmid","year","author","consortium","subcategory","ncase","ncontrol","sample_size","unit","sex","population"
"31","Height","APOC3 inhibitor",1,0.0164859002169197,0.0251669840423853,0.512428724015588,25282103,2014,"Wood AR","GIANT","Anthropometric",NA,NA,253288,"SD (m)","Males and females","European"
"32","Height","APOC3 inhibitor",1,0.0164859002169197,0.0251626898047722,0.512356753300256,25282103,2014,"Wood AR","GIANT","Anthropometric",NA,NA,253288,"SD (m)","Males and females","European"
"33","Hip circumference","APOC3 inhibitor",1,-0.0112798264642082,0.0295027993813849,0.702216072749884,25673412,2015,"Shungin D","GIANT","Anthropometric",NA,NA,224459,"SD (cm)","Males and females","Mixed"
"34","Hip circumference","APOC3 inhibitor",1,-0.0112798264642082,0.0295010845986985,0.702199590874297,25673412,2015,"Shungin D","GIANT","Anthropometric",NA,NA,224459,"SD (cm)","Males and females","Mixed"
"35","Infant head circumference","APOC3 inhibitor",1,0.0616052060737527,0.119739696312364,0.606907525397384,22504419,2012,"Taal HR","EGG","Anthropometric",NA,NA,10768,"SD (cm)","Males and females","European"
"36","Infant head circumference","APOC3 inhibitor",1,0.0616052060737527,0.119752297999197,0.606945368846992,22504419,2012,"Taal HR","EGG","Anthropometric",NA,NA,10768,"SD (cm)","Males and females","European"
"37","Obesity class 1","APOC3 inhibitor",1,-0.117136659436009,0.108459869848156,0.280142180177538,23563607,2013,"Berndt SI","GIANT","Anthropometric",32858,65839,98697,"log odds","Males and females","European"
"38","Obesity class 1","APOC3 inhibitor",1,-0.117136659436009,0.108510158590752,0.280365126864512,23563607,2013,"Berndt SI","GIANT","Anthropometric",32858,65839,98697,"log odds","Males and females","European"
"39","Obesity class 2","APOC3 inhibitor",1,-0.212581344902386,0.195227765726681,0.276202886617978,23563607,2013,"Berndt SI","GIANT","Anthropometric",9889,62657,72546,"log odds","Males and females","European"
"40","Obesity class 2","APOC3 inhibitor",1,-0.212581344902386,0.195319781279584,0.276429191014936,23563607,2013,"Berndt SI","GIANT","Anthropometric",9889,62657,72546,"log odds","Males and females","European"
"41","Obesity class 3","APOC3 inhibitor",1,0.052060737527115,0.347074688463241,0.880765673969721,23563607,2013,"Berndt SI","GIANT","Anthropometric",2896,47468,50364,"log odds","Males and females","European"
"42","Obesity class 3","APOC3 inhibitor",1,0.052060737527115,0.3470715835141,0.880764615259515,23563607,2013,"Berndt SI","GIANT","Anthropometric",2896,47468,50364,"log odds","Males and females","European"
"43","Overweight","APOC3 inhibitor",1,-0.0281995661605206,0.0780911062906724,0.718016387438887,23563607,2013,"Berndt SI","GIANT","Anthropometric",93015,65840,158855,"log odds","Males and females","European"
"44","Overweight","APOC3 inhibitor",1,-0.0281995661605206,0.0780951550958372,0.718030382309876,23563607,2013,"Berndt SI","GIANT","Anthropometric",93015,65840,158855,"log odds","Males and females","European"
"45","Sitting height ratio","APOC3 inhibitor",1,-0.0433839479392625,0.0824385794239489,0.59870907830319,25865494,2015,"Chan",NA,"Anthropometric",NA,NA,21590,"SD","Males and females","European"
"46","Sitting height ratio","APOC3 inhibitor",1,-0.0433839479392625,0.0824295010845987,0.598668814257765,25865494,2015,"Chan",NA,"Anthropometric",NA,NA,21590,"SD","Males and females","European"
"47","Waist circumference","APOC3 inhibitor",1,0.0017353579175705,0.027765769805581,0.950164739242615,25673412,2015,"Shungin D","GIANT","Anthropometric",NA,NA,224459,"SD (cm)","Males and females","Mixed"
"48","Waist circumference","APOC3 inhibitor",1,0.0017353579175705,0.027765726681128,0.950164661941506,25673412,2015,"Shungin D","GIANT","Anthropometric",NA,NA,224459,"SD (cm)","Males and females","Mixed"
"49","Waist-to-hip ratio","APOC3 inhibitor",1,0.00954446854663774,0.0273332123919256,0.726947109490592,25673412,2015,"Shungin D","GIANT","Anthropometric",NA,NA,224459,"SD","Males and females","Mixed"
"50","Waist-to-hip ratio","APOC3 inhibitor",1,0.00954446854663774,0.0273318872017354,0.726934399917106,25673412,2015,"Shungin D","GIANT","Anthropometric",NA,NA,224459,"SD","Males and females","Mixed"
"51","Weight","APOC3 inhibitor",1,-0.0117136659436009,0.0520617854415911,0.821982797456102,23754948,2013,"Randall JC","GIANT","Anthropometric",NA,NA,60586,"SD (kg)","Males","European"
"52","Weight","APOC3 inhibitor",1,-0.0117136659436009,0.052060737527115,0.821979274262541,23754948,2013,"Randall JC","GIANT","Anthropometric",NA,NA,60586,"SD (kg)","Males","European"
"53","Crohn's disease","APOC3 inhibitor",1,0.00651247777123644,0.191323210412148,0.972845938621493,26192919,2015,"Liu","IIBDGC","Autoimmune / inflammatory",5956,14927,20883,"log odds","Males and females","European"
"54","Crohn's disease","APOC3 inhibitor",1,0.00651247777123644,0.191323298553479,0.972845951126352,26192919,2015,"Liu","IIBDGC","Autoimmune / inflammatory",5956,14927,20883,"log odds","Males and females","European"
"55","Eczema","APOC3 inhibitor",1,0.142602254330586,0.153629966270716,0.353293978352013,26482879,2014,"Paternoster","EAGLE","Autoimmune / inflammatory",10788,30047,40835,"log odds","Males and females","European"
"56","Eczema","APOC3 inhibitor",1,0.142602254330586,0.153682587057225,0.353458830738998,26482879,2014,"Paternoster","EAGLE","Autoimmune / inflammatory",10788,30047,40835,"log odds","Males and females","European"
"57","Gout","APOC3 inhibitor",1,-0.0737527114967462,0.273326784903831,0.787288381568519,23263486,2013,"Köttgen","GUGC","Autoimmune / inflammatory",2115,67259,69374,"log odds","Males and females","European"
"58","Gout","APOC3 inhibitor",1,-0.0737527114967462,0.273318872017354,0.787282371350769,23263486,2013,"Köttgen","GUGC","Autoimmune / inflammatory",2115,67259,69374,"log odds","Males and females","European"
"59","Inflammatory bowel disease","APOC3 inhibitor",1,0.145358258383514,0.142792035105988,0.308691379825324,26192919,2015,"Liu","IIBDGC","Autoimmune / inflammatory",12882,21770,34652,"log odds","Males and females","European"
"60","Inflammatory bowel disease","APOC3 inhibitor",1,0.145358258383514,0.142733188720174,0.308491965926853,26192919,2015,"Liu","IIBDGC","Autoimmune / inflammatory",12882,21770,34652,"log odds","Males and females","European"
"61","Juvenile idiopathic arthritis","APOC3 inhibitor",1,0.769236507462039,0.436065133978308,0.0777251798949915,23603761,2013,"Hinks",NA,"Autoimmune / inflammatory",2816,13056,15872,"log odds","Males and females","European"
"62","Juvenile idiopathic arthritis","APOC3 inhibitor",1,0.769236507462039,0.436604340136978,0.0780926505685649,23603761,2013,"Hinks",NA,"Autoimmune / inflammatory",2816,13056,15872,"log odds","Males and females","European"
"63","Multiple sclerosis","APOC3 inhibitor",1,-0.0431684635712364,0.140174437433843,0.758110903029063,24076602,2013,"Beecham","IMSGC","Autoimmune / inflammatory",14498,24091,38589,"log odds","Males and females","European"
"64","Multiple sclerosis","APOC3 inhibitor",1,-0.0431684635712364,0.140169151430803,0.75810206577002,24076602,2013,"Beecham","IMSGC","Autoimmune / inflammatory",14498,24091,38589,"log odds","Males and females","European"
"65","Narcolepsy","APOC3 inhibitor",1,-0.173036588715401,0.301033509335358,0.565420887655263,23459209,2013,"Faraco",NA,"Autoimmune / inflammatory",1886,10421,12307,"log odds","Males and females","European"
"66","Narcolepsy","APOC3 inhibitor",1,-0.173036588715401,0.301073053953121,0.56547195480452,23459209,2013,"Faraco",NA,"Autoimmune / inflammatory",1886,10421,12307,"log odds","Males and females","European"
"67","Primary biliary cirrhosis","APOC3 inhibitor",1,-0.217966231829501,0.266637812856686,0.413664559491671,26394269,2015,"Cordell",NA,"Autoimmune / inflammatory",2764,10475,13239,"log odds","Males and females","European"
"68","Primary biliary cirrhosis","APOC3 inhibitor",1,-0.217966231829501,0.266566958059436,0.413540444395953,26394269,2015,"Cordell",NA,"Autoimmune / inflammatory",2764,10475,13239,"log odds","Males and females","European"
"69","Psoriasis","APOC3 inhibitor",1,-0.25277617410846,0.269350169746681,0.348004604828236,23143594,2012,"Tsoi",NA,"Autoimmune / inflammatory",10588,22806,33394,"log odds","Males and females","European"
"70","Psoriasis","APOC3 inhibitor",1,-0.25277617410846,0.269255831904555,0.34783572924005,23143594,2012,"Tsoi",NA,"Autoimmune / inflammatory",10588,22806,33394,"log odds","Males and females","European"
"71","Rheumatoid arthritis","APOC3 inhibitor",1,0.0876473202494577,0.0903958021761388,0.33224839272699,24390342,2014,"Okada Y",NA,"Autoimmune / inflammatory",19234,61565,80799,"log odds","Males and females","Mixed"
"72","Rheumatoid arthritis","APOC3 inhibitor",1,0.0876473202494577,0.0904295855277843,0.332429050070122,24390342,2014,"Okada Y",NA,"Autoimmune / inflammatory",19234,61565,80799,"log odds","Males and females","Mixed"
"73","Systemic lupus erythematosus","APOC3 inhibitor",1,0.177101928504555,0.265040473940564,0.504001399062091,26502338,2015,"Bentham",NA,"Autoimmune / inflammatory",7219,15991,23210,"log odds","Males and females","European"
"74","Systemic lupus erythematosus","APOC3 inhibitor",1,0.177101928504555,0.265087522972711,0.504077095137464,26502338,2015,"Bentham",NA,"Autoimmune / inflammatory",7219,15991,23210,"log odds","Males and females","European"
"75","Type 1 diabetes","APOC3 inhibitor",1,-0.197940034821258,0.192324984109641,0.303387751422,25751624,2015,"Onengut-Gumuscu",NA,"Autoimmune / inflammatory",9563,9369,18932,"log odds","Males and females","European"
"76","Type 1 diabetes","APOC3 inhibitor",1,-0.197940034821258,0.192405967324249,0.303591314700133,25751624,2015,"Onengut-Gumuscu",NA,"Autoimmune / inflammatory",9563,9369,18932,"log odds","Males and females","European"
"77","Ulcerative colitis","APOC3 inhibitor",1,0.208669863301518,0.181440347718664,0.250113310384647,26192919,2015,"Liu","IIBDGC","Autoimmune / inflammatory",6968,20464,27432,"log odds","Males and females","European"
"78","Ulcerative colitis","APOC3 inhibitor",1,0.208669863301518,0.181344902386117,0.249864109376172,26192919,2015,"Liu","IIBDGC","Autoimmune / inflammatory",6968,20464,27432,"log odds","Males and females","European"
"79","Age of smoking initiation","APOC3 inhibitor",1,0.00911062906724512,0.0186550976138829,0.625286305140081,20418890,2010,"Furberg","TAG","Behavioural",NA,NA,47961,"log years","Males and females","European"
"80","Age of smoking initiation","APOC3 inhibitor",1,0.00911062906724512,0.0186568666368494,0.625319099516175,20418890,2010,"Furberg","TAG","Behavioural",NA,NA,47961,"log years","Males and females","European"
"81","Alcohol dependence","APOC3 inhibitor",1,-0.322824707218655,0.478160009587852,0.499587143392356,22978509,2012,"Olfson",NA,"Behavioural",1897,1932,3829,"log odds","Males and females","Mixed"
"82","Alcohol dependence","APOC3 inhibitor",1,-0.322824707218655,0.478246661028773,0.499664856941262,22978509,2012,"Olfson",NA,"Behavioural",1897,1932,3829,"log odds","Males and females","Mixed"
"83","Cigarettes smoked per day","APOC3 inhibitor",1,-0.0112798264642082,0.684164859002169,0.986845872671216,20418890,2010,"Furberg","TAG","Behavioural",NA,NA,68028,"Cigarettes per day","Males and females","European"
"84","Cigarettes smoked per day","APOC3 inhibitor",1,-0.0112798264642082,0.684164932945483,0.986845874092761,20418890,2010,"Furberg","TAG","Behavioural",NA,NA,68028,"Cigarettes per day","Males and females","European"
"85","Ever vs never smoked","APOC3 inhibitor",1,-0.0498915401301518,0.0971800433839479,0.607676541071858,20418890,2010,"Furberg","TAG","Behavioural",41969,32066,74035,"log odds","Males and females","European"
"86","Ever vs never smoked","APOC3 inhibitor",1,-0.0498915401301518,0.0971902271598968,0.607714163614016,20418890,2010,"Furberg","TAG","Behavioural",41969,32066,74035,"log odds","Males and females","European"
"87","Former vs current smoker","APOC3 inhibitor",1,-0.0498915401301518,0.131894705749963,0.705231550911003,20418890,2010,"Furberg","TAG","Behavioural",23554,18415,41969,"log odds","Males and females","European"
"88","Former vs current smoker","APOC3 inhibitor",1,-0.0498915401301518,0.131887201735358,0.705215564241825,20418890,2010,"Furberg","TAG","Behavioural",23554,18415,41969,"log odds","Males and females","European"
"89","Paget's disease","APOC3 inhibitor",1,0.194111930585683,0.512207124202148,0.704708986560886,21623375,2011,"Albagha OM",NA,"Bone",741,2699,3440,"log odds","Males and females","European"
"90","Paget's disease","APOC3 inhibitor",1,0.194111930585683,0.512177874186551,0.704692914794229,21623375,2011,"Albagha OM",NA,"Bone",741,2699,3440,"log odds","Males and females","European"
"91","Lung adenocarcinoma","APOC3 inhibitor",1,-0.137948252253796,0.225553145336226,0.540802589006934,24880342,2014,"Wang Y","ILCCO","Cancer",3442,14894,18336,"log odds","Males and females","European"
"92","Lung adenocarcinoma","APOC3 inhibitor",1,-0.137948252253796,0.225586688659171,0.540862773861081,24880342,2014,"Wang Y","ILCCO","Cancer",3442,14894,18336,"log odds","Males and females","European"
"93","Lung cancer","APOC3 inhibitor",1,-0.0484271896143167,0.145895878524946,0.739942268591921,24880342,2014,"Wang Y","ILCCO","Cancer",11348,15861,27209,"log odds","Males and females","European"
"94","Lung cancer","APOC3 inhibitor",1,-0.0484271896143167,0.145902269702087,0.739953248063595,24880342,2014,"Wang Y","ILCCO","Cancer",11348,15861,27209,"log odds","Males and females","European"
"95","Melanoma","APOC3 inhibitor",1,-0.205211597041215,0.45860484186,0.654536234308929,21926416,2011,"Amos CI","MDACC","Cancer",1804,1026,2830,"log odds","Males and females","European"
"96","Melanoma","APOC3 inhibitor",1,-0.205211597041215,0.458568329718004,0.654510515314266,21926416,2011,"Amos CI","MDACC","Cancer",1804,1026,2830,"log odds","Males and females","European"
"97","Small cell lung carcinoma","APOC3 inhibitor",1,0.152312977793059,0.240949348680103,0.527297415663249,NA,NA,NA,"TRICL","Cancer",2791,20580,23371,NA,"Males and females","European"
"98","Small cell lung carcinoma","APOC3 inhibitor",1,0.152312977793059,0.240911062906725,0.527231778968881,NA,NA,NA,"TRICL","Cancer",2791,20580,23371,NA,"Males and females","European"
"99","Squamous cell lung cancer","APOC3 inhibitor",1,-0.134933929176573,0.226481561822126,0.551320010663549,24880342,2014,"Wang Y","ILCCO","Cancer",3275,15038,18313,"log odds","Males and females","European"
"100","Squamous cell lung cancer","APOC3 inhibitor",1,-0.134933929176573,0.226513523803719,0.551376180184886,24880342,2014,"Wang Y","ILCCO","Cancer",3275,15038,18313,"log odds","Males and females","European"
"101","Thyroid cancer","APOC3 inhibitor",1,1.7677358384859,0.681218980647477,0.00946019956810563,23894154,2013,"Kohler A",NA,"Cancer",649,431,1080,"log odds","Males and females","European"
"102","Thyroid cancer","APOC3 inhibitor",1,1.7677358384859,0.67939262472885,0.00926992650302154,23894154,2013,"Kohler A",NA,"Cancer",649,431,1080,"log odds","Males and females","European"
"103","Coronary heart disease","APOC3 inhibitor",1,-0.186772234273319,0.0659058012870677,0.00459798242012132,26343387,2015,"Nikpay","CARDIoGRAMplusC4D","Cardiovascular",60801,123504,184305,"log odds","Males and females","Mixed"
"104","Coronary heart disease","APOC3 inhibitor",1,-0.186772234273319,0.065695010845987,0.00446882563833363,26343387,2015,"Nikpay","CARDIoGRAMplusC4D","Cardiovascular",60801,123504,184305,"log odds","Males and females","Mixed"
"105","Myocardial infarction","APOC3 inhibitor",1,-0.170562255965293,0.0728424948587228,0.0192053281415605,26343387,2015,"Nikpay","CARDIoGRAMplusC4D","Cardiovascular",43676,128199,171875,"log odds","Males and females","Mixed"
"106","Myocardial infarction","APOC3 inhibitor",1,-0.170562255965293,0.0726835267305857,0.0189434187543355,26343387,2015,"Nikpay","CARDIoGRAMplusC4D","Cardiovascular",43676,128199,171875,"log odds","Males and females","Mixed"
"107","Type 2 diabetes","APOC3 inhibitor",1,-0.0859116151678959,0.0868471550772234,0.322551727829366,24509480,2014,"Mahajan A","DIAGRAM","Diabetes",26488,83964,110452,"log odds","Males and females","Mixed"
"108","Type 2 diabetes","APOC3 inhibitor",1,-0.0859116151678959,0.0868809396603936,0.322739927526445,24509480,2014,"Mahajan A","DIAGRAM","Diabetes",26488,83964,110452,"log odds","Males and females","Mixed"
"109","Childhood intelligence","APOC3 inhibitor",1,0.184381778741866,0.112484659836608,0.101177306643741,23358156,2014,"Benyamin B","SSGAC","Education",NA,NA,12441,"SD","Males and females","European"
"110","Childhood intelligence","APOC3 inhibitor",1,0.184381778741866,0.11236442516269,0.100812644089042,23358156,2014,"Benyamin B","SSGAC","Education",NA,NA,12441,"SD","Males and females","European"
"111","College completion","APOC3 inhibitor",1,-0.0302629663185683,0.0824295010845987,0.713516407944084,23722424,2013,"Rietveld CA","SSGAC","Education",20044,75383,95427,"log odds","Males and females","European"
"112","College completion","APOC3 inhibitor",1,-0.0302629663185683,0.0824339186556029,0.713531082966449,23722424,2013,"Rietveld CA","SSGAC","Education",20044,75383,95427,"log odds","Males and females","European"
"113","Years of schooling","APOC3 inhibitor",1,0.00867678958785249,0.0216933539093077,0.689175257751041,27225129,2016,"Okbay","SSGAC","Education",NA,NA,293723,"SD (years)","Males and females","European"
"114","Years of schooling","APOC3 inhibitor",1,0.00867678958785249,0.0216919739696312,0.689156516779352,27225129,2016,"Okbay","SSGAC","Education",NA,NA,293723,"SD (years)","Males and females","European"
"115","2hr glucose","APOC3 inhibitor",1,-0.13882863340564,0.156231270958938,0.374212839716493,20081857,2010,"Saxena R","MAGIC","Glycemic",NA,NA,15234,"mmol/L","Males and females","European"
"116","2hr glucose","APOC3 inhibitor",1,-0.13882863340564,0.156182212581345,0.374062797490882,20081857,2010,"Saxena R","MAGIC","Glycemic",NA,NA,15234,"mmol/L","Males and females","European"
"117","AUCins","APOC3 inhibitor",1,-0.160520607375271,0.186605886589655,0.3896722369166,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4324,"SD (mU*min/l)","Males and females","European"
"118","AUCins","APOC3 inhibitor",1,-0.160520607375271,0.186550976138829,0.389532704716716,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4324,"SD (mU*min/l)","Males and females","European"
"119","AUCins/AUCglu","APOC3 inhibitor",1,-0.0780911062906724,0.190889370932755,0.682472947499482,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4213,"SD","Males and females","European"
"120","AUCins/AUCglu","APOC3 inhibitor",1,-0.0780911062906724,0.190902072631659,0.682492921852478,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4213,"SD","Males and females","European"
"121","Corrected insulin response","APOC3 inhibitor",1,-0.156182212581345,0.17353579175705,0.368120250693519,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,5318,"SD","Males and females","European"
"122","Corrected insulin response","APOC3 inhibitor",1,-0.156182212581345,0.173591672094569,0.368274449160132,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,5318,"SD","Males and females","European"
"123","Fasting glucose","APOC3 inhibitor",1,-0.000867678958785249,0.00563996630814549,0.877732183089172,22581228,2012,"Manning AK","MAGIC","Glycemic",NA,NA,58074,"mmol/L","Males and females","European"
"124","Fasting glucose","APOC3 inhibitor",1,-0.000867678958785249,0.00563991323210412,0.877731041501716,22581228,2012,"Manning AK","MAGIC","Glycemic",NA,NA,58074,"mmol/L","Males and females","European"
"125","Fasting insulin","APOC3 inhibitor",1,-0.00130151843817787,0.0052060737527115,0.802587348634153,22581228,2012,"Manning AK","MAGIC","Glycemic",NA,NA,51750,"log pmol/L","Males and females","European"
"126","Fasting insulin","APOC3 inhibitor",1,-0.00130151843817787,0.00520620312456363,0.80259215290399,22581228,2012,"Manning AK","MAGIC","Glycemic",NA,NA,51750,"log pmol/L","Males and females","European"
"127","Fasting proinsulin","APOC3 inhibitor",1,0.0281995661605206,0.0607375271149675,0.64244305767423,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,10701,"log pmol/L","Males and females","European"
"128","Fasting proinsulin","APOC3 inhibitor",1,0.0281995661605206,0.0607427326334861,0.642471560671996,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,10701,"log pmol/L","Males and females","European"
"129","HbA1C","APOC3 inhibitor",1,0.0112798264642082,0.0295027993813849,0.702216072749884,20858683,2010,"Soranzo N","MAGIC","Glycemic",NA,NA,46368,"%","Males and females","European"
"130","HbA1C","APOC3 inhibitor",1,0.0112798264642082,0.0295010845986985,0.702199590874297,20858683,2010,"Soranzo N","MAGIC","Glycemic",NA,NA,46368,"%","Males and females","European"
"131","HOMA-B","APOC3 inhibitor",1,0.00433839479392625,0.0264642082429501,0.869782765494109,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,46186,"log HOMA","Males and females","European"
"132","HOMA-B","APOC3 inhibitor",1,0.00433839479392625,0.0264644910249575,0.869784144489432,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,46186,"log HOMA","Males and females","European"
"133","HOMA-IR","APOC3 inhibitor",1,-0.0234273318872017,0.0325379609544469,0.471524995558502,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,46186,"log HOMA","Males and females","European"
"134","HOMA-IR","APOC3 inhibitor",1,-0.0234273318872017,0.0325446669835405,0.471616346330881,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,46186,"log HOMA","Males and females","European"
"135","Incremental insulin at 30 minutes","APOC3 inhibitor",1,-0.00121475054229935,0.182212584564864,0.994680809090088,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4447,"SD","Males and females","European"
"136","Incremental insulin at 30 minutes","APOC3 inhibitor",1,-0.00121475054229935,0.182212581344902,0.994680808996092,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4447,"SD","Males and females","European"
"137","Insulin at 30 minutes","APOC3 inhibitor",1,-0.0997830802603037,0.182234306576775,0.583998345214828,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4409,"SD","Males and females","European"
"138","Insulin at 30 minutes","APOC3 inhibitor",1,-0.0997830802603037,0.182212581344902,0.58395350774479,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4409,"SD","Males and females","European"
