"","outcome","exposure","method","nsnp","b","se","pval","Q","Q_df","Q_pval","egger_intercept","egger_intercept_se","egger_intercept_pval","pmid","year","author","consortium","subcategory","ncase","ncontrol","sample_size","unit","sd","sex","population"
"20","Waist circumference","Lp(a)","Wald ratio",1,0.00833333333333333,0.00909090909090909,0.359317338329571,NA,NA,NA,NA,NA,NA,25673412,2015,"Shungin D","GIANT","Anthropometric",NA,NA,224459,"SD (cm)",12.52,"Males and females","Mixed"
"21","Waist-to-hip ratio","Lp(a)","Wald ratio",1,0.0113636363636364,0.00909090909090909,0.21129954733371,NA,NA,NA,NA,NA,NA,25673412,2015,"Shungin D","GIANT","Anthropometric",NA,NA,224459,"SD",0.07607940864,"Males and females","Mixed"
"22","Weight","Lp(a)","Wald ratio",1,-0.00984848484848485,0.0121212121212121,0.416504786576218,NA,NA,NA,NA,NA,NA,23754948,2013,"Randall JC","GIANT","Anthropometric",NA,NA,60586,"SD (kg)",13.36,"Males","European"
"23","Crohn's disease","Lp(a)","Wald ratio",1,-0.0460617518641667,0.0390151515151515,0.237756937084468,NA,NA,NA,NA,NA,NA,26192919,2015,"Liu","IIBDGC","Autoimmune / inflammatory",5956,14927,20883,"log odds",NA,"Males and females","European"
"24","Eczema","Lp(a)","Wald ratio",1,-0.0479443088414394,0.0337208174391667,0.155083883815093,NA,NA,NA,NA,NA,NA,26482879,2014,"Paternoster","EAGLE","Autoimmune / inflammatory",10788,30047,40835,"log odds",NA,"Males and females","European"
"25","Gout","Lp(a)","Wald ratio",1,0.00833333333333333,0.0681818181818182,0.902723027603871,NA,NA,NA,NA,NA,NA,23263486,2013,"Köttgen","GUGC","Autoimmune / inflammatory",2115,67259,69374,"log odds",NA,"Males and females","European"
"26","Inflammatory bowel disease","Lp(a)","Wald ratio",1,-0.0126504921387121,0.0286363636363636,0.658660558075562,NA,NA,NA,NA,NA,NA,26192919,2015,"Liu","IIBDGC","Autoimmune / inflammatory",12882,21770,34652,"log odds",NA,"Males and females","European"
"27","Juvenile idiopathic arthritis","Lp(a)","Wald ratio",1,0.00623773100537879,0.0758701329613636,0.934475032594482,NA,NA,NA,NA,NA,NA,23603761,2013,"Hinks",NA,"Autoimmune / inflammatory",2816,13056,15872,"log odds",NA,"Males and females","European"
"28","Multiple sclerosis","Lp(a)","Wald ratio",1,0.00528455586093182,0.0245494772605303,0.82956349020697,NA,NA,NA,NA,NA,NA,24076602,2013,"Beecham","IMSGC","Autoimmune / inflammatory",14498,24091,38589,"log odds",NA,"Males and females","European"
"29","Narcolepsy","Lp(a)","Wald ratio",1,0.133530276829545,0.0569346233952273,0.0190104278024994,NA,NA,NA,NA,NA,NA,23459209,2013,"Faraco",NA,"Autoimmune / inflammatory",1886,10421,12307,"log odds",NA,"Males and females","European"
"30","Psoriasis","Lp(a)","Wald ratio",1,0.0434177020553788,0.0490946601562121,0.37649807893022,NA,NA,NA,NA,NA,NA,23143594,2012,"Tsoi",NA,"Autoimmune / inflammatory",10588,22806,33394,"log odds",NA,"Males and females","European"
"31","Rheumatoid arthritis","Lp(a)","Wald ratio",1,0.0223930320011364,0.0300814219449242,0.456626044482373,NA,NA,NA,NA,NA,NA,24390342,2014,"Okada Y",NA,"Autoimmune / inflammatory",19234,61565,80799,"log odds",NA,"Males and females","Mixed"
"32","Systemic lupus erythematosus","Lp(a)","Wald ratio",1,-0.0223930320011364,0.0523490557621212,0.668823081210287,NA,NA,NA,NA,NA,NA,26502338,2015,"Bentham",NA,"Autoimmune / inflammatory",7219,15991,23210,"log odds",NA,"Males and females","European"
"33","Type 1 diabetes","Lp(a)","Wald ratio",1,-0.0112046102065152,0.030650847945303,0.714696197596015,NA,NA,NA,NA,NA,NA,25751624,2015,"Onengut-Gumuscu",NA,"Autoimmune / inflammatory",9563,9369,18932,"log odds",NA,"Males and females","European"
"34","Ulcerative colitis","Lp(a)","Wald ratio",1,0.00780061021015152,0.0359090909090909,0.828027405010483,NA,NA,NA,NA,NA,NA,26192919,2015,"Liu","IIBDGC","Autoimmune / inflammatory",6968,20464,27432,"log odds",NA,"Males and females","European"
"35","Age of smoking initiation","Lp(a)","Wald ratio",1,-0.00423351158645276,0.0367647058823529,0.908325028249512,NA,NA,NA,NA,NA,NA,20418890,2010,"Furberg","TAG","Behavioural",NA,NA,47961,"log years",0.34,"Males and females","European"
"36","Cigarettes smoked per day","Lp(a)","Wald ratio",1,-0.0400747199468999,0.0380930030264488,0.292788941693213,NA,NA,NA,NA,NA,NA,20418890,2010,"Furberg","TAG","Behavioural",NA,NA,68028,"Cigarettes per day",11.69784541,"Males and females","European"
"37","Ever vs never smoked","Lp(a)","Wald ratio",1,-0.065,0.075,0.386124674283814,NA,NA,NA,NA,NA,NA,20418890,2010,"Furberg","TAG","Behavioural",41969,32066,74035,"log odds",NA,"Males and females","European"
"38","Former vs current smoker","Lp(a)","Wald ratio",1,0.155909090909091,0.0902272727272727,0.0839954501865626,NA,NA,NA,NA,NA,NA,20418890,2010,"Furberg","TAG","Behavioural",23554,18415,41969,"log odds",NA,"Males and females","European"
"39","Paget's disease","Lp(a)","Wald ratio",1,0.0605,0.113115151515152,0.592751376904605,NA,NA,NA,NA,NA,NA,21623375,2011,"Albagha OM",NA,"Bone",741,2699,3440,"log odds",NA,"Males and females","European"
"40","Lung adenocarcinoma","Lp(a)","Wald ratio",1,0.0610036544491667,0.0488416666666667,0.211661982710186,NA,NA,NA,NA,NA,NA,24880342,2014,"Wang Y","ILCCO","Cancer",3442,14894,18336,"log odds",NA,"Males and females","European"
"41","Lung cancer","Lp(a)","Wald ratio",1,0.0208463241189394,0.0335530303030303,0.534405657458104,NA,NA,NA,NA,NA,NA,24880342,2014,"Wang Y","ILCCO","Cancer",11348,15861,27209,"log odds",NA,"Males and females","European"
"42","Melanoma","Lp(a)","Wald ratio",1,-0.0304407497218182,0.089469696969697,0.733679332148041,NA,NA,NA,NA,NA,NA,21926416,2011,"Amos CI","MDACC","Cancer",1804,1026,2830,"log odds",NA,"Males and females","European"
"43","Squamous cell lung cancer","Lp(a)","Wald ratio",1,-0.0281908834864394,0.0548454545454545,0.60724791333742,NA,NA,NA,NA,NA,NA,24880342,2014,"Wang Y","ILCCO","Cancer",3275,15038,18313,"log odds",NA,"Males and females","European"
"44","Coronary heart disease","Lp(a)","Wald ratio",1,-0.241362121212121,0.0184840151515152,5.72985303585879e-39,NA,NA,NA,NA,NA,NA,26343387,2015,"Nikpay","CARDIoGRAMplusC4D","Cardiovascular",60801,123504,184305,"log odds",NA,"Males and females","Mixed"
"45","Myocardial infarction","Lp(a)","Wald ratio",1,-0.215737878787879,0.0201453365288636,9.22812359362815e-27,NA,NA,NA,NA,NA,NA,26343387,2015,"Nikpay","CARDIoGRAMplusC4D","Cardiovascular",43676,128199,171875,"log odds",NA,"Males and females","Mixed"
"46","Type 2 diabetes","Lp(a)","Wald ratio",1,0.0150019903759091,0.0359267505685606,0.676260371644962,NA,NA,NA,NA,NA,NA,24509480,2014,"Mahajan A","DIAGRAM","Diabetes",26488,83964,110452,"log odds",NA,"Males and females","Mixed"
"47","College completion","Lp(a)","Wald ratio",1,0.0282543823815909,0.0159090909090909,0.0757346066527534,NA,NA,NA,NA,NA,NA,23722424,2013,"Rietveld CA","SSGAC","Education",20044,75383,95427,"log odds",NA,"Males and females","European"
"48","Years of schooling","Lp(a)","Wald ratio",1,0.00303030303030303,0.00378787878787879,0.423710797166793,NA,NA,NA,NA,NA,NA,27225129,2016,"Okbay","SSGAC","Education",NA,NA,293723,"SD (years)",3.71,"Males and females","European"
"49","2hr glucose","Lp(a)","Wald ratio",1,0.037639576451241,0.0280803189398147,0.180107039640696,NA,NA,NA,NA,NA,NA,20081857,2010,"Saxena R","MAGIC","Glycemic",NA,NA,15234,"mmol/L",1.268007699,"Males and females","European"
"50","AUCins","Lp(a)","Wald ratio",1,-0.0386363636363636,0.0462121212121212,0.403118014218166,NA,NA,NA,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4324,"SD (mU*min/l)",NA,"Males and females","European"
"51","AUCins/AUCglu","Lp(a)","Wald ratio",1,-0.0522727272727273,0.046969696969697,0.265749994484718,NA,NA,NA,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4213,"SD",NA,"Males and females","European"
"52","Corrected insulin response","Lp(a)","Wald ratio",1,-0.0393939393939394,0.0424242424242424,0.353111234506006,NA,NA,NA,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,5318,"SD",NA,"Males and females","European"
"53","Fasting glucose","Lp(a)","Wald ratio",1,0.000414939681586357,0.00186722856713861,0.824140895741885,NA,NA,NA,NA,NA,NA,22581228,2012,"Manning AK","MAGIC","Glycemic",NA,NA,58074,"mmol/L",0.7302996471,"Males and females","European"
"54","Fasting insulin","Lp(a)","Wald ratio",1,-0.000671269658611431,0.00172612197928654,0.697358341877476,NA,NA,NA,NA,NA,NA,22581228,2012,"Manning AK","MAGIC","Glycemic",NA,NA,51750,"log pmol/L",0.79,"Males and females","European"
"55","Fasting proinsulin","Lp(a)","Wald ratio",1,0.0112233445566779,0.0158997381219603,0.480261302753423,NA,NA,NA,NA,NA,NA,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,10701,"log pmol/L",0.81,"Males and females","European"
"56","HbA1C","Lp(a)","Wald ratio",1,-0.000283585005458086,0.0124777402401558,0.981867820961016,NA,NA,NA,NA,NA,NA,20858683,2010,"Soranzo N","MAGIC","Glycemic",NA,NA,46368,"%",0.5342847774,"Males and females","European"
"57","HOMA-B","Lp(a)","Wald ratio",1,-0.000949557141267448,0.00680515951241671,0.889027492331461,NA,NA,NA,NA,NA,NA,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,46186,"log HOMA",0.9573841,"Males and females","European"
"58","HOMA-IR","Lp(a)","Wald ratio",1,-0.0113121474277966,0.0113121474277966,0.317310507862914,NA,NA,NA,NA,NA,NA,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,46186,"log HOMA",0.6697011,"Males and females","European"
"59","Incremental insulin at 30 minutes","Lp(a)","Wald ratio",1,-0.0310606060606061,0.0454545454545454,0.494396235653322,NA,NA,NA,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4447,"SD",NA,"Males and females","European"
"60","Insulin at 30 minutes","Lp(a)","Wald ratio",1,-0.0310606060606061,0.0462121212121212,0.501500208935513,NA,NA,NA,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4409,"SD",NA,"Males and females","European"
"61","Insulin disposition index","Lp(a)","Wald ratio",1,-0.0181818181818182,0.0424242424242424,0.668235141795249,NA,NA,NA,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,5130,"SD",NA,"Males and females","European"
"62","Insulin sensitivity index","Lp(a)","Wald ratio",1,0.0234848484848485,0.0454545454545454,0.605388868880522,NA,NA,NA,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4769,"SD",NA,"Males and females","European"
"63","Haemoglobin concentration","Lp(a)","Wald ratio",1,0.00718185559997436,0.00925925184790083,0.437960969881749,NA,NA,NA,NA,NA,NA,23222517,2012,"van der Harst P","HaemGen","Haemotological",NA,NA,71861,"g/dL",1.276364658,"Males and females","Mixed"
"64","Mean cell haemoglobin","Lp(a)","Wald ratio",1,0.00495501869695416,0.0102911926782894,0.63017433816751,NA,NA,NA,NA,NA,NA,23222517,2012,"van der Harst P","HaemGen","Haemotological",NA,NA,64731,"pg",1.987577737,"Males and females","Mixed"
"65","Mean cell haemoglobin concentration","Lp(a)","Wald ratio",1,0.00590680597455051,0.00643019384571322,0.358302398291574,NA,NA,NA,NA,NA,NA,23222517,2012,"van der Harst P","HaemGen","Haemotological",NA,NA,67852,"g/dL",1.013212303,"Males and females","Mixed"
"66","Mean cell volume","Lp(a)","Wald ratio",1,0.00207134062618945,0.00993368286221842,0.834825398547739,NA,NA,NA,NA,NA,NA,23222517,2012,"van der Harst P","HaemGen","Haemotological",NA,NA,69335,"fl",5.193532933,"Males and females","Mixed"
"67","Mean platelet volume","Lp(a)","Wald ratio",1,-0.00973033083124826,0.0222407561857103,0.661748776081758,NA,NA,NA,NA,NA,NA,22139419,2011,"Gieger C","HaemGen","Haemotological",NA,NA,66867,"log fl",0.109,"Males and females","European"
"68","Packed cell volume","Lp(a)","Wald ratio",1,0.0113636363636364,0.00693374422187981,0.101236402173935,NA,NA,NA,NA,NA,NA,23222517,2012,"van der Harst P","HaemGen","Haemotological",NA,NA,63511,"%",5.9,"Males and females","Mixed"
"69","Platelet count","Lp(a)","Wald ratio",1,-0.00839559879503818,0.0133556002511854,0.529597796626244,NA,NA,NA,NA,NA,NA,22139419,2011,"Gieger C","HaemGen","Haemotological",NA,NA,66867,"1x10^9/l",59.934,"Males and females","European"
"70","Red blood cell count","Lp(a)","Wald ratio",1,0.00536616161616162,0.00962752525252525,0.577269842906158,NA,NA,NA,NA,NA,NA,23222517,2012,"van der Harst P","HaemGen","Haemotological",NA,NA,66214,"10^12/L",0.48,"Males and females","Mixed"
"71","Heart rate","Lp(a)","Wald ratio",1,0.0612878787878788,0.110606060606061,0.579503848017921,NA,NA,NA,NA,NA,NA,23583979,2013,"den Hoed M","HRgene consortium","Hemodynamic",NA,NA,92355,"beats per minute",NA,"Males and females","Mixed"
"72","Leptin","Lp(a)","Wald ratio",1,0.00871212121212121,0.0111363636363636,0.434030692671656,NA,NA,NA,NA,NA,NA,26833098,2016,"Kilpeläinen",NA,"Hormone",NA,NA,32161,"log ng/ml",NA,"Males and females","European"
"73","Plasma cortisol","Lp(a)","Wald ratio",1,-0.0336128787878788,0.0313083333333333,0.282998386843853,NA,NA,NA,NA,NA,NA,25010111,2014,"Bolton JL","CORNET","Hormone",NA,NA,12597,"SD",NA,"Males and females","European"
"74","Chronic kidney disease","Lp(a)","Wald ratio",1,-0.0643939393939394,0.0318181818181818,0.0429897539234366,NA,NA,NA,NA,NA,NA,26831199,2015,"Pattaro","CKDGen","Kidney",12385,104780,117165,"log odds",NA,"Males and females","Mixed"
"75","Microalbuminuria","Lp(a)","Wald ratio",1,0.0159090909090909,0.0492424242424242,0.746636986614261,NA,NA,NA,NA,NA,NA,26631737,2015,"Teumer","CKDGen","Kidney",NA,NA,54116,"log odds",NA,"Males and females","European"
"76","Serum creatinine (eGFRcrea)","Lp(a)","Wald ratio",1,0.0347222222222222,0.00789141414141414,1.08250878154077e-05,NA,NA,NA,NA,NA,NA,26831199,2015,"Pattaro","CKDGen","Kidney",NA,NA,118460,"log ml/min/1.73 m^²",0.24,"Males and females","Mixed"
"77","Serum cystatin C (eGFRcys)","Lp(a)","Wald ratio",1,0.011528326745718,0.0181159420289855,0.524539436435313,NA,NA,NA,NA,NA,NA,26831199,2015,"Pattaro","CKDGen","Kidney",NA,NA,33152,"log ml/min/1.73 m^²",0.23,"Males and females","Mixed"
"78","Urinary albumin-to-creatinine ratio","Lp(a)","Wald ratio",1,-0.00441919191919192,0.0773358585858586,0.954431397113681,NA,NA,NA,NA,NA,NA,26631737,2015,"Teumer","CKDGen","Kidney",NA,NA,5825,"log mg/g",0.96,"Males and females","European"
"79","Copper","Lp(a)","Wald ratio",1,0.0189393939393939,0.0477272727272727,0.691496221175875,NA,NA,NA,NA,NA,NA,23720494,2013,"Evans",NA,"Metal",NA,NA,2603,"SD",NA,"Males and females","European"
"80","Selenium","Lp(a)","Wald ratio",1,-0.00909090909090909,0.0515151515151515,0.859924253238214,NA,NA,NA,NA,NA,NA,23720494,2013,"Evans",NA,"Metal",NA,NA,2603,"SD",NA,"Males and females","European"
"81","Zinc","Lp(a)","Wald ratio",1,-0.00606060606060606,0.0462121212121212,0.895658593641375,NA,NA,NA,NA,NA,NA,23720494,2013,"Evans",NA,"Metal",NA,NA,2603,"SD",NA,"Males and females","European"
"82","Urate","Lp(a)","Wald ratio",1,0.0307586214112879,0.0461048513208333,0.504679513348238,NA,NA,NA,NA,NA,NA,25811787,2015,"Huffman JE","GUGC","Other",NA,NA,7189,"SD (mg/dL)",1.33,"Females","European"
"83","Neo-agreeableness","Lp(a)","Wald ratio",1,-0.0303878335594753,0.0189393939393939,0.108608815475462,NA,NA,NA,NA,NA,NA,21173776,2012,"de Moor MH","GPC","Personality",NA,NA,17375,"arbitrary score",5.36,"Males and females","European"
"84","Neo-conscientiousness","Lp(a)","Wald ratio",1,-0.0249490093240093,0.0197649572649573,0.206846247801082,NA,NA,NA,NA,NA,NA,21173776,2012,"de Moor MH","GPC","Personality",NA,NA,17375,"arbitrary score",6.24,"Males and females","European"
"85","Neo-extraversion","Lp(a)","Wald ratio",1,-0.0262408367184947,0.0194354951673904,0.176967824594693,NA,NA,NA,NA,NA,NA,21173776,2012,"de Moor MH","GPC","Personality",NA,NA,17375,"arbitrary score",6.49,"Males and females","European"
"86","Neo-neuroticism","Lp(a)","Wald ratio",1,0.0131559497413156,0.0194013303769401,0.497711309807077,NA,NA,NA,NA,NA,NA,21173776,2012,"de Moor MH","GPC","Personality",NA,NA,17375,"arbitrary score",8.2,"Males and females","European"
"87","Neo-openness to experience","Lp(a)","Wald ratio",1,-0.0184531122031122,0.0196048321048321,0.3465750870279,NA,NA,NA,NA,NA,NA,21173776,2012,"de Moor MH","GPC","Personality",NA,NA,17375,"arbitrary score",5.92,"Males and females","European"
"88","Neuroticism","Lp(a)","Wald ratio",1,0.00378787878787879,0.00606060606060606,0.531971058097401,NA,NA,NA,NA,NA,NA,27089181,2016,"Okbay","SSGAC","Personality",NA,NA,170911,"SD",NA,"Males and females","European"
"89","Adiponectin","Lp(a)","Wald ratio",1,-0.0208147262094631,0.0166041998936736,0.209993974953429,NA,NA,NA,NA,NA,NA,22479202,2012,"Dastani Z","ADIPOGen","Protein",NA,NA,39883,"ln(mg/dL)",0.57,"Males and females","Mixed"
"90","2-choice reaction time","Lp(a)","Wald ratio",1,-0.0322727272727273,0.0475757575757576,0.497553639038854,NA,NA,NA,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2602,"SD (milliseconds)",81.45,"Males and females","European"
"91","4-choice reaction time","Lp(a)","Wald ratio",1,0.0203030303030303,0.0431818181818182,0.638229680513853,NA,NA,NA,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2829,"SD (milliseconds)",105.07,"Males and females","European"
"92","8-choice reaction time","Lp(a)","Wald ratio",1,-0.053030303030303,0.0643939393939394,0.410206998692259,NA,NA,NA,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,1382,"SD (milliseconds)",100.47,"Males and females","European"
"93","Alzheimer's disease","Lp(a)","Wald ratio",1,0.0390909090909091,0.0282575757575758,0.166548987710252,NA,NA,NA,NA,NA,NA,24162737,2013,"Lambert","IGAP","Psychiatric / neurological",17008,37154,54162,"log odds",NA,"Males and females","European"
"94","Amygdala volume","Lp(a)","Wald ratio",1,12.9673484848485,5.47280303030303,0.0178161891224822,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"95","Amyotrophic lateral sclerosis","Lp(a)","Wald ratio",1,-0.0286363636363636,0.0278787878787879,0.304338579537456,NA,NA,NA,NA,NA,NA,27455348,2016,"van Rheenen","Project MinE","Psychiatric / neurological",12577,23475,36052,"log odds",NA,"Males and females","European"
"96","Autism","Lp(a)","Wald ratio",1,-0.0841660397871212,0.046969696969697,0.0731454393321807,NA,NA,NA,NA,NA,NA,NA,2015,NA,"PGC","Psychiatric / neurological",4949,5314,10263,"log odds",NA,"Males and females","European"
"97","Bipolar disorder","Lp(a)","Wald ratio",1,-0.0665515837675758,0.0403787878787879,0.0993153679746087,NA,NA,NA,NA,NA,NA,21926972,2011,"Sklar P","PGC","Psychiatric / neurological",7481,9250,16731,"log odds",NA,"Males and females","European"
"98","Bulimia nervosa","Lp(a)","Wald ratio",1,0.0257575757575758,0.0151515151515152,0.0891309255170861,NA,NA,NA,NA,NA,NA,23568457,2013,"Wade TD",NA,"Psychiatric / neurological",151,2291,2442,"log odds",NA,"Females","European"
"99","Caudate volume","Lp(a)","Wald ratio",1,0.950757575757576,10.8153787878788,0.929949852725036,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"100","Depressive symptoms","Lp(a)","Wald ratio",1,-0.0053030303030303,0.0053030303030303,0.317310507862914,NA,NA,NA,NA,NA,NA,27089181,2016,"Okbay","SSGAC","Psychiatric / neurological",NA,NA,161460,"SD",NA,"Males and females","European"
"101","Digit symbol","Lp(a)","Wald ratio",1,-0.0078030303030303,0.0416666666666667,0.851446805164149,NA,NA,NA,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2956,"SD (number correct in 90/120 seconds)",11.86,"Males and females","European"
"102","G speed factor","Lp(a)","Wald ratio",1,-0.045530303030303,0.0470454545454545,0.333147320465376,NA,NA,NA,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2430,"SD",1,"Males and females","European"
"103","Hippocampus volume","Lp(a)","Wald ratio",1,13.4527272727273,10.5491666666667,0.202224039926182,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"104","Inspection time","Lp(a)","Wald ratio",1,-0.0153787878787879,0.0442424242424242,0.728138548447724,NA,NA,NA,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2645,"SD (milliseconds)",48.34,"Males and females","European"
"105","Internalizing problems","Lp(a)","Wald ratio",1,0.0343181818181818,0.0447727272727273,0.443380361480081,NA,NA,NA,NA,NA,NA,24839885,2014,"Benke","EAGLE","Psychiatric / neurological",NA,NA,4596,NA,NA,"Males and females","European"
"106","Intracranial volume","Lp(a)","Wald ratio",1,704.383333333333,4898.13704545454,0.885653368591153,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"107","Nucleus accumbens volume","Lp(a)","Wald ratio",1,3.24583333333333,2.58825757575758,0.209819771272131,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"108","Pallidum volume","Lp(a)","Wald ratio",1,1.79151515151515,4.35810606060606,0.681016413177372,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
